mktID,weekdayThisAreaIsActive,date,mktDay,year,month,weekday,mkt_lat,mkt_lon,sumsum_maxpMax_27_100,sumsum_maxpMax_27_24,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,heavy_haze_percent,instrument,light_haze_percent,satellite_azimuth,satellite_id,shadow_percent,sun_azimuth,sun_elevation,view_angle,visible_confidence_percent,visible_percent,time_decimal,diff_to_median_time,exclDates,maxVar_s_6_maxpMax_1
lon9_9576lat36_8643,5,2017-11-21,0,2017,11,2,9.9576,36.8643,0.4283879067731835,,,,,,,,,PS2,,,,,,,,,,8.608055555555556,1.081666666666667,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-22,0,2017,11,3,9.9576,36.8643,0.36078267593848,,2017-11-22T07:21:34.127233Z,0.0,65.0,100.0,0.0,0.0,0.0,PS2,0.0,276.5,1039,0.0,136.2,48.2,3.3,65.0,100.0,7.359444444444444,0.1669444444444447,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-22,0,2017,11,3,9.9576,36.8643,0.1707381530629109,,,,,,,,,PS2,,,,,,,,,,8.613333333333333,1.0869444444444447,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-27,0,2017,11,1,9.9576,36.8643,0.3817152742972378,,,,,,,,,PS2,,,,,,,,,,7.349166666666666,0.1772222222222224,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-29,0,2017,11,3,9.9576,36.8643,0.2659396594222102,,,,,,,,,PS2,,,,,,,,,,7.350833333333333,0.1755555555555554,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-30,0,2017,11,4,9.9576,36.8643,0.7645366951376567,,2017-11-30T07:21:34.914361Z,0.0,65.0,100.0,0.0,0.0,0.0,PS2,0.0,274.5,1001,0.0,137.2,46.7,1.5,66.0,100.0,7.359444444444444,0.1669444444444447,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-03,0,2017,12,0,9.9576,36.8643,0.308068038328663,,2017-12-03T07:21:19.027906Z,0.0,65.0,100.0,0.0,0.0,0.0,PS2,0.0,275.7,100b,0.0,137.5,46.3,2.1,65.0,100.0,7.355277777777777,0.1711111111111112,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-06,0,2017,12,3,9.9576,36.8643,0.1632216529989006,,2017-12-06T07:21:49.521083Z,0.0,76.0,100.0,0.0,0.0,0.0,PS2,0.0,147.3,1027,0.0,137.7,45.8,0.8,76.0,100.0,7.363611111111111,0.1627777777777774,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-07,0,2017,12,4,9.9576,36.8643,0.4542610238229345,,,,,,,,,PS2,,,,,,,,,,7.35361111111111,0.1727777777777781,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-10,0,2017,12,0,9.9576,36.8643,0.2078074804171398,,2017-12-10T07:21:47.222594Z,0.0,59.0,86.0,0.0,0.0,0.0,PS2,14.0,256.8,100a,0.0,137.7,45.3,0.9,56.0,100.0,7.3630555555555555,0.1633333333333331,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-12,0,2017,12,2,9.9576,36.8643,0.3550522895922437,,2017-12-12T07:23:14.707575Z,0.0,71.0,100.0,0.0,0.0,0.0,PS2,0.0,274.1,0e26,0.0,137.9,45.3,0.9,72.0,100.0,7.387222222222222,0.1391666666666662,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-13,0,2017,12,3,9.9576,36.8643,0.1461079834138136,,2017-12-13T07:21:28.602146Z,0.0,76.0,100.0,0.0,0.0,0.0,PS2,0.0,130.0,100c,0.0,137.6,44.8,1.0,76.0,100.0,7.357777777777778,0.1686111111111108,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-14,0,2017,12,4,9.9576,36.8643,0.1503462074145073,,,,,,,,,PS2,,,,,,,,,,7.360833333333333,0.1655555555555556,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-17,0,2017,12,0,9.9576,36.8643,0.1767161421843731,,2017-12-17T07:21:59.223345Z,0.0,72.0,100.0,0.0,0.0,0.0,PS2,0.0,279.6,1032,0.0,137.4,44.4,1.7,73.0,100.0,7.366388888888888,0.1600000000000001,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-20,0,2017,12,3,9.9576,36.8643,0.257136018541427,,2017-12-20T07:22:24.571977Z,0.0,77.0,100.0,0.0,0.0,0.0,PS2,0.0,111.9,0f25,0.0,137.3,44.3,0.8,77.0,100.0,7.373333333333333,0.1530555555555555,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-25,0,2017,12,1,9.9576,36.8643,0.1642523458968587,,,,,,,,,PS2,,,,,,,,,,7.377777777777777,0.1486111111111112,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-27,0,2017,12,3,9.9576,36.8643,0.2203842386777222,,2017-12-27T07:22:03.991811Z,0.0,80.0,100.0,0.0,0.0,0.0,PS2,0.0,134.1,1005,0.0,136.4,43.8,0.0,80.0,100.0,7.3675,0.1588888888888888,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-28,0,2017,12,4,9.9576,36.8643,0.5084323377872334,,2017-12-28T07:22:41.370386Z,0.01,85.0,100.0,0.0,0.0,0.0,PS2,0.0,207.2,1038,0.0,136.3,43.7,0.8,85.0,100.0,7.378055555555555,0.1483333333333334,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-12-28,0,2017,12,4,9.9576,36.8643,0.6805782200935485,,2017-12-28T07:22:42.417763Z,0.01,82.0,100.0,0.0,0.0,0.0,PS2,0.0,207.3,1038,0.0,136.3,43.7,0.8,82.0,100.0,7.378333333333333,0.1480555555555556,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-01,0,2018,1,1,9.9576,36.8643,0.5208871392253744,,,,,,,,,PS2,,,,,,,,,,7.374444444444444,0.1519444444444442,0,sumsum_maxpMax_27_24
